S.No,q_2.1,q_2.2,q_2.3,q_2.4,q_2.5,q_2.6,q_2.7,q_2.8,q_2.9,q_3.1,q_3.2,q_3.3,q_3.4,q_3.5,q_3.6,q_3.7,q_3.8,q_3.9,q_3.10,q_3.11,q_3.12,q_4.1,q_4.2,q_4.3,q_4.4,q_4.5,q_4.6,q_4.7,q_4.8,q_4.9,q_5.1,q_5.2,q_5.3,q_5.4,q_5.5,q_5.6,q_5.7,q_5.8,q_5.9,q_6.1.1,q_6.1.2,q_6.1.3,q_6.1.4,q_6.2.1,q_6.2.2,q_6.2.3,q_6.2.4,q_6.3.1,q_6.3.2,q_6.3.3,q_6.3.4,q_6.4.1,q_6.4.2,q_6.4.3,q_6.4.4,q_7,q_8,q_9,,1,Male,1,Student
24,1,1,1,0,0,0,0,0,0,3,3,5,3,4,5,5,4,4,4,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,22,1,,,,,
25,1,1,1,0,1,0,1,JioTV,0,6,5,7,6,7,7,5,5,4,6,3,4,1,1,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,2,21,1,,,,,
26,1,1,1,0,1,1,1,0,0,5,5,5,3,5,4,6,4,5,4,4,4,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,2,23,1,,,,,
27,0,1,1,0,0,0,0,0,0,6,3,5,6,3,5,6,5,3,5,6,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,2,21,1,,,,,
29,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,28,2,,,,,
30,1,1,1,0,0,0,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,23,2,,,,,
31,1,1,1,0,0,0,1,0,0,2,2,3,4,4,4,4,5,5,6,2,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,34,2,,,,,
32,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,27,1,,,,,
33,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,25,2,,,,,
34,1,1,1,0,1,0,1,0,0,6,6,7,7,5,6,6,5,6,5,5,6,1,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,21,1,,,,,
